SubmissionDate,starttime,endtime,deviceid,devicephonenum,device_info,duration,consent,worker_id,age,is_employed,not_working_tea,num_days,num_pluck,inc_last14,largepurchase_ind,purchase_type,purchase_type_1,purchase_type_2,purchase_type_3,purchase_type_4,purchase_type_5,purchase_type_6,instanceID,formdef_version,KEY
"Oct 30, 2023 9:53:42 PM","Oct 30, 2023 9:50:38 PM","Oct 30, 2023 9:53:42 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",183,1,2059,28,0,N/A,,,0,0,,,,,,,,uuid:5c1f6084-c86f-4574-9b22-1197869f1d46,2310302140,uuid:5c1f6084-c86f-4574-9b22-1197869f1d46
"Oct 30, 2023 9:56:53 PM","Oct 30, 2023 9:53:44 PM","Oct 30, 2023 9:56:53 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",189,1,1949,62,0,NA,,,10000,1,6,0,0,0,0,0,1,uuid:71aa63c1-e67f-4051-8862-4043774fab56,2310302140,uuid:71aa63c1-e67f-4051-8862-4043774fab56
"Oct 30, 2023 9:59:36 PM","Oct 30, 2023 9:56:54 PM","Oct 30, 2023 9:59:36 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",162,1,1901,33,1,,2,1,18500,0,,,,,,,,uuid:1a51bb03-2ba1-440c-9e48-94752001a0e1,2310302140,uuid:1a51bb03-2ba1-440c-9e48-94752001a0e1
"Oct 30, 2023 10:00:16 PM","Oct 30, 2023 9:59:37 PM","Oct 30, 2023 10:00:16 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",39,1,1856,37,1,,4,2,0,1,2,0,1,0,0,0,0,uuid:8f753b44-3888-4252-9082-ec1b17d2b030,2310302140,uuid:8f753b44-3888-4252-9082-ec1b17d2b030
"Oct 30, 2023 10:00:56 PM","Oct 30, 2023 10:00:21 PM","Oct 30, 2023 10:00:56 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",35,1,1562,31,1,,4,3,11000,0,,,,,,,,uuid:daf161b3-6042-41ee-ab3b-f9f2834b5023,2310302140,uuid:daf161b3-6042-41ee-ab3b-f9f2834b5023
"Oct 30, 2023 10:01:54 PM","Oct 30, 2023 10:01:08 PM","Oct 30, 2023 10:01:54 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",46,1,1277,35,1,,5,2,105000,1,6,0,0,0,0,0,1,uuid:5e2e5da8-a129-4852-a64f-ad1d53b00fb8,2310302140,uuid:5e2e5da8-a129-4852-a64f-ad1d53b00fb8
"Oct 30, 2023 10:02:38 PM","Oct 30, 2023 10:01:56 PM","Oct 30, 2023 10:02:38 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",42,1,1197,31,2,NA,,,22000,0,,,,,,,,uuid:05e9a93f-e710-4f01-b098-80741a78a860,2310302140,uuid:05e9a93f-e710-4f01-b098-80741a78a860
"Oct 30, 2023 10:03:17 PM","Oct 30, 2023 10:02:43 PM","Oct 30, 2023 10:03:17 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",34,1,1140,45,1,,2,1,14500,0,,,,,,,,uuid:3c0c3a2e-177e-4a7b-9a4f-0f2bf16422cd,2310302140,uuid:3c0c3a2e-177e-4a7b-9a4f-0f2bf16422cd
"Oct 30, 2023 10:03:52 PM","Oct 30, 2023 10:03:19 PM","Oct 30, 2023 10:03:52 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",33,1,656,35,0,na,,,8400,0,,,,,,,,uuid:bf845d3c-dcb4-4049-bd03-80df787c151b,2310302140,uuid:bf845d3c-dcb4-4049-bd03-80df787c151b
"Oct 30, 2023 10:04:30 PM","Oct 30, 2023 10:03:54 PM","Oct 30, 2023 10:04:30 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",36,1,649,32,0,na,,,15700,0,,,,,,,,uuid:9cc5fa07-47c4-417c-9ee2-ba259d3b57cf,2310302140,uuid:9cc5fa07-47c4-417c-9ee2-ba259d3b57cf
"Oct 30, 2023 10:06:06 PM","Oct 30, 2023 10:04:39 PM","Oct 30, 2023 10:06:06 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",87,1,580,46,2,na,,,24000,0,,,,,,,,uuid:78321e6e-240e-46dd-986b-a14fb212067c,2310302140,uuid:78321e6e-240e-46dd-986b-a14fb212067c
"Oct 30, 2023 10:06:53 PM","Oct 30, 2023 10:06:08 PM","Oct 30, 2023 10:06:53 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",45,1,517,53,1,,4,3,25000,0,,,,,,,,uuid:8cf05157-ea52-40a1-bd6d-e77d671c6688,2310302140,uuid:8cf05157-ea52-40a1-bd6d-e77d671c6688
"Oct 30, 2023 10:07:33 PM","Oct 30, 2023 10:06:54 PM","Oct 30, 2023 10:07:33 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",38,1,442,37,1,,5,4,10000,0,,,,,,,,uuid:aa80c626-52cf-4e6e-a375-f5b081500279,2310302140,uuid:aa80c626-52cf-4e6e-a375-f5b081500279
"Oct 30, 2023 10:08:06 PM","Oct 30, 2023 10:07:34 PM","Oct 30, 2023 10:08:06 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",32,1,394,63,2,na,,,2000,0,,,,,,,,uuid:111fb1f0-cce6-4ea1-bf83-bbfae8c23b88,2310302140,uuid:111fb1f0-cce6-4ea1-bf83-bbfae8c23b88
"Oct 30, 2023 10:08:40 PM","Oct 30, 2023 10:08:07 PM","Oct 30, 2023 10:08:40 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",33,1,238,35,0,na,,,28000,0,,,,,,,,uuid:13e26dd5-d1ff-458a-ae5f-83b68d9b749d,2310302140,uuid:13e26dd5-d1ff-458a-ae5f-83b68d9b749d
"Oct 30, 2023 10:09:21 PM","Oct 30, 2023 10:08:41 PM","Oct 30, 2023 10:09:21 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",40,1,36,53,1,,5,5,68700,0,,,,,,,,uuid:ff5d93a5-36dd-4608-99be-e400e2d19bcf,2310302140,uuid:ff5d93a5-36dd-4608-99be-e400e2d19bcf
"Oct 30, 2023 10:09:56 PM","Oct 30, 2023 10:09:22 PM","Oct 30, 2023 10:09:56 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",34,1,2640,60,1,,4,4,7900,0,,,,,,,,uuid:c9e4de6c-deb3-4c2a-9226-700bb410df7d,2310302140,uuid:c9e4de6c-deb3-4c2a-9226-700bb410df7d
"Oct 30, 2023 10:10:38 PM","Oct 30, 2023 10:09:57 PM","Oct 30, 2023 10:10:38 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",41,1,2515,39,1,,5,4,6200,0,,,,,,,,uuid:d17cc7dd-3a18-48c1-850c-a0df0bb08c7b,2310302140,uuid:d17cc7dd-3a18-48c1-850c-a0df0bb08c7b
"Oct 30, 2023 10:12:18 PM","Oct 30, 2023 10:10:40 PM","Oct 30, 2023 10:12:18 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",99,1,2320,38,0,na,,,25700,1,1,1,0,0,0,0,0,uuid:d914d60f-8037-4c13-9f87-7a614d997457,2310302140,uuid:d914d60f-8037-4c13-9f87-7a614d997457
"Oct 30, 2023 10:12:47 PM","Oct 30, 2023 10:12:22 PM","Oct 30, 2023 10:12:47 PM",(web),,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36|SurveyCTO web forms 2.81",25,1,2188,45,2,na,,,133000,0,,,,,,,,uuid:a55501f5-bb72-4401-bd5f-293c216cfdb7,2310302140,uuid:a55501f5-bb72-4401-bd5f-293c216cfdb7